기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드,순이익성장률,매출액성장률,자본총계성장률,순이익성장지수,매출액성장지수,자본총계성장지수
코가로보틱스,중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,자율주행,-23.325974234243866,-0.5039228244335922,30.096180019961892,-23.325974234243866,-0.5039228244335922,30.096180019961892
에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,자율주행,1.4892160863968857,42.95017901571698,2.665656407926864,1.4892160863968857,42.95017901571698,2.665656407926864
뷰런테크놀로지,중소기업,45919,4763,773070,939785,89852,34091,17350,18852,-266673,-44582,-10186,2022,자율주행,25.180345572354213,0.808349246764269,7.603815162712015,25.180345572354213,0.808349246764269,7.603815162712015
체이시로보틱스,중소기업,55922,2676,24567,21618,21484,55922,30082,32682,2948,134,-215,2022,자율주행,-14.711627906976744,0.711094792240377,0.14350214112828152,-14.711627906976744,0.711094792240377,0.14350214112828152
포티투닷 주식회사,중소기업,330478,7291,3650495,9432812,2462012,330478,40203,2506,-6118762,-3452141,-2147287,2022,자율주행,1.8495315251291513,130.87470071827613,0.4827283538829218,1.8495315251291513,130.87470071827613,0.4827283538829218
피너클써치,중소기업,120793,3384,99679,97840,71001,120793,109519,110621,1839,26838,19394,2018,자율주행,-0.9051768588223161,0.09195360736207411,0.4039098040872664,-0.9051768588223161,0.09195360736207411,0.4039098040872664
한국교통안전공단,중기업,38479817,4466,23436861,21862975,20816590,38479817,43607780,33865607,63788,1067705,-687089,2022,자율주행,-1.092838045726245,0.136250621463835,0.12587417055339034,-1.092838045726245,0.136250621463835,0.12587417055339034
 퓨런티어,중견기업,2690454,5482,3845407,1278420,509576,2690454,2217195,1508163,198182,264179,-217997,2022,자율주행,-1.9091042537282623,0.7839278645610587,6.546287501766174,-1.9091042537282623,0.7839278645610587,6.546287501766174
리뉴피플,중소기업,0,2046,-10074,-10086,-9015,44549,42649,26992,11,-1071,-5080,2015,자율주행,-1.0021653543307087,0.6504519857735626,0.11747088186356074,-1.0021653543307087,0.6504519857735626,0.11747088186356074
텔레칩스,중견기업,15040431,0,16966993,10627672,9244830,15040431,13641773,10073759,4589742,703140,-941309,2022,자율주행,-5.875914285319698,0.49303065519038125,0.8352952947755664,-5.875914285319698,0.49303065519038125,0.8352952947755664
