기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)에이디시스템,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 권선구 산업로156번길 142-10, A동 6층 612호",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,10,"6억 1,620만"
위프코(주),경력무관 · 정규직,면접 후 결정,"경기 용인시 수지구 신수로 767, A동 502호,503호 (동천동,분당수지유타워)",드론,"중소기업, 스타트업, 수출입 기업업종건물 및 토목 엔지니어링 서비스업",64,"118억 6,276만"
성우엔지니어링,경력무관 · 계약직,면접 후 결정,충북 청주시 흥덕구 옥산면 신촌길 23-22,드론,"중소기업, 수출입 기업업종무인 항공기 및 무인 비행장치 제조업매출액",-,-
포항직업전문학교,경력(년수무관) · 정규직,면접 후 결정,경북 포항시 남구 냉천로 58,드론,"중소기업, 학교/교육기관업종운전학원매출액",-,-
(주)드론장,경력무관 · 정규직 외,면접 후 결정,서울 강서구 강서로17길 78,드론,"중소기업업종장난감 및 취미, 오락용품 도매업",4,-
(주)프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)해양드론기술,신입 · 경력 · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","부산 영도구 해양로 435-1, 613호, 618호",드론,중소기업업종유선 통신장비 제조업,11,-
(주)아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,드론,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-
신일정보기술(주),신입 · 경력 · 정규직,"연봉 3,600 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",대구 중구 태평로 256-29,드론,"중소기업, 연구소, 주식회사업종항공기용 부품 제조업",18,-
(주)스페이스앤빈,경력무관 · 계약직,면접 후 결정,"서울 노원구 공릉로 232, 130호 (공릉동,서울과학기술대학교 제2창업보육센터)",드론,"중소기업, 주식회사업종전기ㆍ전자공학 연구개발업",14,-
새론에스엔아이(주),경력무관 · 정규직,면접 후 결정,"대전 유성구 문지로 281-25, 3층 (문지동,비케이인스트루먼트)",드론,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",13,"25억 7,700만"
(주)제이앤에스,경력무관 · 정규직,면접 후 결정,"경기 용인시 기흥구 흥덕중앙로 120, 1006호",드론,"중소기업, 스타트업, 외부감사법인, 연구..업종전자코일, 변성기 및 기타 전자 유도자 ..",69,-
베셀에어로스페이스(주),신입 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만"
