기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
㈜피앤피시큐어,신입 · 경력 · 정규직,면접 후 결정,"서울 강서구 마곡서로 182 (마곡동,피앤피스테이션)",딥러닝,"중소기업, 외부감사법인, 주식회사업종응용 소프트웨어 개발 및 공급업",181,"526억 6,242만"
데이터플로,경력무관 · 정규직,면접 후 결정,"서울 강남구 논현로 503, 5층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",25,-
(주)티맥스에이아이,경력무관 · 정규직,면접 후 결정,경기 성남시 분당구 황새울로258번길 29,딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,116,-
(주)티맥스메타버스,경력무관 · 정규직,면접 후 결정,경기 성남시 분당구 황새울로258번길 29,딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,90,-
(주)뉴로메카,신입 · 경력 · 정규직 외,면접 후 결정,서울 성동구 아차산로 78,딥러닝,"코스닥, 중소기업, 스타트업, 주식회사, ..업종산업용 로봇 제조업",142,"73억 3,308만"
(주)엠에이치엔씨티,2 ~ 4년 · 정규직,회사내규에 따름,"서울 서대문구 서소문로 27, 220호 (충정로3가,충정리시온)",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종컴퓨터 프로그래밍 서비스업",11,-
(주)슈프리마,2 ~ 5년 · 정규직,면접 후 결정,"경기 성남시 분당구 정자일로 248, 17층 5호",딥러닝,"코스닥, 중소기업, 주식회사업종유선 통신장비 제조업",200,"893억 9,713만"
(주)포딕스시스템,경력 5년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로31길 38-9, 301동 302호",딥러닝,"중소기업, 주식회사, 병역특례 인증업체,..업종기타 반도체소자 제조업",53,245억
메타빌드(주),경력무관 · 정규직,면접 후 결정,서울 서초구 서초중앙로 62,딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",230,"205억 7,808만"
(주)플라잎,경력 3년↑ · 정규직,면접 후 결정,-,딥러닝,중소기업업종시스템 소프트웨어 개발 및 공급업,19,-
(주)플라잎,경력 7년↑ · 정규직,면접 후 결정,-,딥러닝,중소기업업종시스템 소프트웨어 개발 및 공급업,19,-
(주)렉스퍼,경력 3년↑ · 정규직 외,면접 후 결정,"서울 강남구 압구정로4길 14-2, 3층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",15,"4억 3,000만"
(주)엠디에스테크,1 ~ 5년 · 정규직,회사내규에 따름,"경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워)",딥러닝,"코스닥, 중견기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",166,-
서울대학교병원,경력무관 · 계약직,면접 후 결정,서울 종로구 대학로 101,딥러닝,"기타, 공사/공기업업종종합 병원",749,-
(주)멋쟁이사자처럼,경력(년수무관) · 프리랜서,면접 후 결정,"서울 종로구 종로3길 17, 디타워, 디1동 16층, 17층",딥러닝,"중소기업, 주식회사업종그 외 기타 정보 서비스업",120,-
GOPIZZA,경력무관 · 정규직,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만"
팀스파르타(주),경력 5년↑ · 프리랜서,"건당 100,000원","서울 강남구 테헤란로44길 8, 12층",딥러닝,중소기업업종직원훈련기관,146,-
(주) 스카이브,경력 5년↑ · 정규직,면접 후 결정,"서울 서초구 효령로 10, 5층, 8층 (방배동,수영빌딩)",딥러닝,중소기업업종의료기기 도매업설립일*,-,-
국립암센터,경력무관 · 계약직,면접 후 결정,경기 고양시 일산동구 일산로 323,딥러닝,"기타, 병원/의료기관업종일반 병원",2856,-
(주) 스카이브,경력 2년↑ · 정규직,면접 후 결정,"서울 서초구 효령로 10, 5층, 8층 (방배동,수영빌딩)",딥러닝,중소기업업종의료기기 도매업설립일*,-,-
(주)연합시스템,경력 1년↑ · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로323번길 26,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종구름베어링 제조업",45,"44억 3,768만"
(주)우경정보기술,경력무관 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 24-5,딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..업종응용 소프트웨어 개발 및 공급업",165,-
(주)우경정보기술,3 ~ 5년 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 24-5,딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..업종응용 소프트웨어 개발 및 공급업",165,-
(주)아이브,1 ~ 2년 · 정규직,회사내규에 따름,"경기 용인시 수지구 광교중앙로 338, 제에이 721호, 722호",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",63,-
(주)필드에스,경력 5년↑ · 정규직,"연봉 15,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","서울 강남구 역삼로 217, 201호",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,5,-
아이티컨버젼스(주),신입 · 경력 · 정규직,면접 후 결정,"서울 송파구 중대로 312, 401호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",22,-
(주)핸디비전,신입 · 경력 · 정규직 외,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
(주)에니트,경력 3년↑ · 정규직,면접 후 결정,"광주 북구 첨단과기로 333, 시험생산동 303호 (대촌동,광주테크노파크)",딥러닝,"중소기업, 연구소, 주식회사업종그 외 기타 일반목적용 기계 제조업",23,43억
코가로보틱스(주),경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",딥러닝,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-
(주)루닛,5 ~ 11년 · 정규직,회사내규에 따름,"서울 강남구 강남대로 374, 4층, 5층, 6층, 7층, 8층, 9층 (역삼동,케이스퀘어 강남2)",딥러닝,"코스닥, 중소기업, 스타트업, 외국인 투..홈페이지",-,-
(주)디지털팜,경력무관 · 계약직,면접 후 결정,"서울 서초구 반포대로 222, 1026호",딥러닝,"중소기업, 주식회사업종의학 및 약학 연구개발업",10,-
(주)크레스콤,1 ~ 15년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교역로 230, B동 311호",딥러닝,"중소기업, 주식회사, 수출입 기업업종그 외 기타 정보 서비스업",14,-
(주)넥서스커뮤니티,7 ~ 20년 · 정규직,회사내규에 따름,"서울 영등포구 여의대로 108, 19층 (여의도동,파크원타워2)",딥러닝,"외국인 투자기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",81,-
(주)밀레니얼웍스,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 영통구 광교로 156, 11층 경기엑스알센터 9호 (이의동,광교비즈니스센터)",딥러닝,"중소기업, 주식회사업종컴퓨터 프로그래밍 서비스업",8,-
(주)앤씨앤,신입 · 경력 · 정규직,면접 후 결정,경기 성남시 분당구 판교로 323,딥러닝,"코스닥, 외부감사법인, 수출입 기업업종기타 반도체소자 제조업",141,-
주식회사 스타랩스,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 테헤란로25길 6-9 (역삼동,석암빌딩)",딥러닝,중소기업업종컴퓨터시스템 통합 자문 및 구축 서비스업,100,40억
(주)코아아이티,경력 3년↑ · 정규직,면접 후 결정,충북 청주시 청원구 오창읍 과학산업4로 8-6,딥러닝,"중소기업, 주식회사업종컴퓨터 프로그래밍 서비스업",90,"94억 6,606만"
(주)씨이랩,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 언주로 617, 3,4층",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",79,-
㈜제이브이엠,5 ~ 15년 · 정규직,면접 후 결정,대구 달서구 호산동로 121,딥러닝,"코스닥, 외부감사법인, 수출입 기업업종용기 세척, 포장 및 충전기 제조업",320,"1,061억 7,600만"
(주)한백전자,경력 3년↑ · 정규직,면접 후 결정,"대전 유성구 유성대로 518, 3층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체,..업종컴퓨터 제조업",23,-
(주)솔트룩스,경력무관 · 정규직,면접 후 결정,"서울 강남구 언주로 538, 4층, 5층",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",198,-
