기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
네이버랩스(주),신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",자율주행,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-
한밭대학교산학협력단,경력무관 · 교육생,면접 후 결정,대전 유성구 동서대로 125,자율주행,"기타, 학교/교육기관업종기타 공학 연구개발업",149,-
(주)반프,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 역삼로 175, 3층 (역삼동,현승빌딩)",자율주행,"중소기업, 주식회사, 수출입 기업업종전자감지장치 제조업",17,"1억 2,360만"
(주)에이치엘클레무브,신입 · 경력 · 정규직,면접 후 결정,인천 연수구 하모니로 224,자율주행,"대기업, 1000대기업, 주식회사, 병역특례..업종그 외 자동차용 신품 부품 제조업",1114,1조
(주)엑스와이지,경력 5년↑ · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-
(주)디바인테크놀로지,경력 1년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 판교로289번길 20, 2동 8층 3, 4호 (삼평동,스타트업캠퍼스)",자율주행,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",16,-
(주)엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-
(주)지텍,경력 5년↑ · 정규직,면접 후 결정,충남 천안시 동남구 풍세면 풍세산단1로 6,자율주행,"중소기업, 주식회사업종산업용 로봇 제조업설립일*",-,-
(주)베이리스,신입 · 경력 · 정규직 외,면접 후 결정,"경기 성남시 수정구 창업로 42, 725호, 726호, 727호, 728호",자율주행,"중소기업, 외부감사법인, 주식회사, 병역..업종응용 소프트웨어 개발 및 공급업",90,-
(주)로아스,3 ~ 10년 · 정규직,면접 후 결정,"경기 안양시 동안구 엘에스로116번길 39, 엘에스엠트론 하이테크센타 사무동 402호",자율주행,"중소기업, 외국인 투자기업, 주식회사업종산업용 로봇 제조업",40,"132억 8,600만"
(주)랑데뷰,경력무관 · 정규직,"연봉 5,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",자율주행,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-
(주)엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-
(주)마젠타로보틱스,경력(년수무관) · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만
(주)랑데뷰,경력무관 · 정규직,면접 후 결정,"서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",자율주행,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-
(주)티와이엠아이씨티,경력 3년↑ · 정규직,면접 후 결정,충남 공주시 우성면 차동로 476-42,자율주행,"중소기업, 외부감사법인, 연구소, 주식회..업종응용 소프트웨어 개발 및 공급업",56,-
(주)티와이엠아이씨티,신입 · 경력 · 정규직,면접 후 결정,충남 공주시 우성면 차동로 476-42,자율주행,"중소기업, 외부감사법인, 연구소, 주식회..업종응용 소프트웨어 개발 및 공급업",56,-
(주)보스반도체,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-
(주)셀플러스코리아,신입 · 정규직,면접 후 결정,"경기 안양시 동안구 학의로 282, 18층 1814호 (관양동,금강펜테리움아이티타워)",자율주행,"중소기업, 주식회사업종기타 정보기술 및 컴퓨터운영 관련 서비..",18,"16억 1,675만"
코너스톤코리아(주),경력무관 · 정규직,회사내규에 따름,"서울 강남구 언주로 732, 8층",자율주행,"중소기업, 외국 법인기업, 주식회사업종경영 컨설팅업",47,-
코가로보틱스(주),경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",자율주행,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-
(주)에스유엠,경력무관 · 계약직,면접 후 결정,"경기 시흥시 배곧2로 82, 301호 (배곧동,미래모빌리티기술센터)",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-
(주)유니트론텍,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 영동대로 638, 9층 (삼성동,삼보빌딩)",자율주행,"코스닥, 중견기업, 외부감사법인, 주식회..업종전지 및 케이블 도매업",93,"4,261억 2,530만"
(주)모베이스전자,신입 · 경력 · 정규직,면접 후 결정,경기 수원시 권선구 산업로156번길 100,자율주행,"코스닥, 중견기업, 1000대기업, 외부감사..업종자동차용 신품 전기장치 제조업",1046,-
(주)센서뷰,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교역로 240, 에이동 705호,705-1호",자율주행,"코스닥, 중소기업, 주식회사업종기타 절연선 및 케이블 제조업",113,"56억 3,912만"
(주)센서뷰,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교역로 240, 에이동 705호,705-1호",자율주행,"코스닥, 중소기업, 주식회사업종기타 절연선 및 케이블 제조업",113,"56억 3,912만"
(주)넥스트칩,경력 5년↑ · 정규직 외,면접 후 결정,"경기 성남시 분당구 판교역로 230, B동 10층 (삼평동,삼환하이펙스)",자율주행,"코스닥, 중소기업, 주식회사, 병역특례 ..업종비메모리용 및 기타 전자집적회로 제조업설립일",-,-
(주)언맨드솔루션,경력무관 · 정규직,면접 후 결정,"서울 마포구 성암로 330, 4층 423호,424호,425호 (상암동,디엠씨첨단산업센터)",자율주행,중소기업업종응용 소프트웨어 개발 및 공급업,35,-
(주)포도,신입 · 정규직,면접 후 결정,"경기 성남시 수정구 창업로 43, B동 1001호",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종컴퓨터 프로그래밍 서비스업",50,-
(주)오토노머스에이투지,경력무관 · 계약직,"월급 250 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","경북 경산시 가마실길 50, 201호",자율주행,"중소기업, 연구소, 주식회사, 병역특례 ..",133,-
(주)일렉트릭스,경력 2년↑ · 정규직,면접 후 결정,부산 강서구 경전철로24번길 43-3,자율주행,"중소기업, 외부감사법인, 주식회사업종전기용 기계ㆍ장비 및 관련 기자재 도매업",36,-
(주)나비프라,신입 · 경력 · 정규직 외,면접 후 결정,"서울 서초구 서초대로73길 7, 3층",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-
모빈(주),1 ~ 10년 · 정규직,면접 후 결정,"대구 달서구 성서공단로11길 32, 연구1동 4층 403호",자율주행,중소기업업종응용 소프트웨어 개발 및 공급업,5,-
(주)마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만
(주)코난테크놀로지,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 강남대로 327, 6층, 7층, 9층 (서초동,대륭서초타워)",자율주행,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",270,-
한국자동차연구원,경력무관 · 계약직,면접 후 결정,충남 천안시 동남구 풍세면 풍세로 303,자율주행,"기타, 비영리단체/협회업종기타 엔지니어링 서비스업",802,-
지엠비코리아(주),경력 · 정규직,회사내규에 따름,경남 창원시 성산구 웅남로 618,자율주행,"코스피, 외국인 투자기업, 외부감사법인,..업종그 외 자동차용 신품 부품 제조업",697,-
제이알씨모빌리티독일 유한책임회사(영업소),신입 · 경력 · 정규직 외,면접 후 결정,"서울 강서구 공항대로 209, GMG L-Star 1103호",자율주행,"기타, 외국 법인기업, 유한회사업종기계·설비·자동차설립일",-,-
현대엔지비(주),신입 · 경력 · 정규직,면접 후 결정,서울 관악구 관악로 1,자율주행,"대기업, 외부감사법인업종기타 공학 연구개발업",135,-
(주)유디엔에스,경력무관 · 정규직,면접 후 결정,"경기 용인시 기흥구 기흥로 58-1, 제에이동 제15층 제1513호,제1514호",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",24,-
(주)하이엔드,경력무관 · 정규직,면접 후 결정,"충남 금산군 추부면 대학로 70, 2층",자율주행,"중소기업, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",8,-
(주)하이엔드,경력무관 · 정규직,면접 후 결정,"충남 금산군 추부면 대학로 70, 2층",자율주행,"중소기업, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",8,-
(주)마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만
티유브이슈드코리아(주),경력 10년↑ · 정규직,면접 후 결정,"서울 영등포구 국제금융로 10, 29층",자율주행,"중소기업, 외국인 투자기업, 외부감사법인업종기타 기술 시험, 검사 및 분석업",165,214억 824만
티유브이슈드코리아(주),경력무관 · 정규직,면접 후 결정,"서울 영등포구 국제금융로 10, 29층",자율주행,"중소기업, 외국인 투자기업, 외부감사법인업종기타 기술 시험, 검사 및 분석업",165,214억 824만
(주)세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,자율주행,중소기업업종그 외 자동차용 신품 부품 제조업,52,-
(주)퓨런티어,경력무관 · 정규직,면접 후 결정,경기 성남시 중원구 사기막골로 58,자율주행,"코스닥, 중소기업, 외부감사법인, 주식회..업종기타 측정, 시험, 항해, 제어 및 정밀기..",96,-
이인텔리전스(주),3 ~ 15년 · 정규직,면접 후 결정,대구 달성군 유가읍 테크노순환로10길 1,자율주행,중견기업업종응용 소프트웨어 개발 및 공급업,40,"70억 3,624만"
(주)제이이노텍,경력무관 · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, B동 804호",자율주행,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",31,-
(주)아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,자율주행,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-
코드(주),1 ~ 10년 · 정규직,면접 후 결정,인천 서구 봉수대로1394번길 39-12,자율주행,"중소기업, 외국인 투자기업, 주식회사, ..업종체조, 육상 및 체력단련용 장비 제조업",3,-
한국로봇융합연구원,경력무관 · 정규직,면접 후 결정,경북 포항시 남구 지곡로 39,자율주행,"기타, 연구소업종기타 공학 연구개발업",176,-
(주)카비,경력 10년↑ · 정규직,면접 후 결정,"서울 금천구 벚꽃로 244, 301호",자율주행,"중소기업, 스타트업, 주식회사, 병역특례..업종응용 소프트웨어 개발 및 공급업",23,-
(주)네패스,5 ~ 7년 · 정규직,면접 후 결정,충북 음성군 삼성면 금일로965번길 105,자율주행,"코스닥, 중견기업, 1000대기업, 외국인 ..업종다이오드, 트랜지스터 및 유사 반도체소..",1059,-
포레시아코리아(주),1 ~ 7년 · 정규직,면접 후 결정,경기 용인시 수지구 포은대로59번길 10,자율주행,"외국인 투자기업, 외부감사법인업종그 외 자동차용 신품 부품 제조업",148,-
피에이치에이(주),신입 · 경력 · 정규직,면접 후 결정,대구 달서구 성서4차첨단로 392,자율주행,"코스닥, 중견기업, 외국인 투자기업, 외..업종자동차 차체용 신품 부품 제조업",626,-
(주)세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,자율주행,중소기업업종그 외 자동차용 신품 부품 제조업,52,-
(주)티스퀘어랩,경력무관 · 정규직,"연봉 3,600 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","서울 중구 칠패로 46, 202호",자율주행,"중소기업, 주식회사업종기타 기술 시험, 검사 및 분석업",50,-
현대자동차(주),경력,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
현대자동차(주),경력 3년↑,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
현대자동차(주),경력,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-
(주)자동차공학연구소,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 양재천로17길 19, 2층, 3층 (양재동,태암빌딩)",자율주행,중소기업업종기타 공학 연구개발업,15,-
이인텔리전스(주),3 ~ 15년 · 정규직,면접 후 결정,대구 달성군 유가읍 테크노순환로10길 1,자율주행,중견기업업종응용 소프트웨어 개발 및 공급업,40,"70억 3,624만"
(주)티라로보틱스,경력무관 · 정규직,면접 후 결정,"경기 성남시 중원구 둔촌대로 388, 304호 (상대원동,크란츠테크노)",자율주행,"중소기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",45,-
(주)셀플러스코리아,신입 · 정규직,면접 후 결정,"경기 안양시 동안구 학의로 282, 18층 1814호 (관양동,금강펜테리움아이티타워)",자율주행,"중소기업, 주식회사업종기타 정보기술 및 컴퓨터운영 관련 서비..",18,"16억 1,675만"
한국보그워너티에스,신입 · 경력 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",자율주행,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-
(주)화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,자율주행,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만"
(주)화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,자율주행,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만"
가율 국제특허법률사무소,경력무관 · 정규직 외,면접 후 결정,"부산 연제구 중앙대로 1243, 601호",자율주행,중소기업업종변리사업설립일*,-,-
(주)시그봇,경력무관 · 정규직,면접 후 결정,"경기 광명시 일직로 43, C동 1815호",자율주행,"중소기업업종물질 검사, 측정 및 분석기구 제조업",11,-
(주)니나노,신입 · 정규직,"연봉 2,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","경남 밀양시 부북면 무안로 761, 411호",자율주행,"중소기업, 연구소, 주식회사업종플라스틱 적층, 도포 및 기타 표면처리 ..",6,-
(주)에이모,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 (삼평동,판교세븐벤처밸리2)",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-
엘림써치,경력 3년↑ · 정규직,면접 후 결정,경기 성남시 분당구 미금일로 58,자율주행,중소기업업종시설관리·경비·용역설립일,-,-
(주)사람인에이치에스,2 ~ 6년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",자율주행,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억
(주)바른인사컨설팅,경력무관 · 파견직,면접 후 결정,"서울 구로구 디지털로33길 11, 209호",자율주행,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",700,300억
(주)비에이블컨설팅그룹,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털2로 165, 1501호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-
탑커리어인사이트,3 ~ 7년 · 정규직,면접 후 결정,서울 강남구 역삼로17길 9 배영빌딩 202호,자율주행,-,-,-
굿커리어,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-
굿커리어,2 ~ 11년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-
쓰리핸즈(3Handz),8 ~ 12년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-
쓰리핸즈(3Handz),3 ~ 5년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-
쓰리핸즈(3Handz),5 ~ 10년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,자율주행,-,-,-
(주)맨파워코리아,1 ~ 15년 · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만"
(주)맨파워코리아,경력 3년↑ · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만"
(주)솔찬컴퍼니,3 ~ 7년 · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-
(주)솔찬컴퍼니,경력 3년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-
굿커리어,4 ~ 16년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-
반석써치(주),신입 · 병역특례,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",자율주행,중소기업업종상품 종합 도매업설립일,-,-
(주)브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-
(주)브이비젼,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-
굿커리어,2 ~ 17년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-
커리어라인업(주),4 ~ 8년 · 정규직,면접 후 결정,"서울 서초구 방배천로26길 21, 102호",자율주행,중소기업업종상용 인력 공급 및 인사관리 서비스업설립일,-,-
반석써치(주),신입 · 병역특례,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",자율주행,중소기업업종상품 종합 도매업설립일,-,-
㈜골드윙파트너스,경력 10년↑ · 정규직,면접 후 결정,부산 부산진구 신암로 141,자율주행,"중소기업, 외국인 투자기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업설립일*",-,-
(주)갤리언컨설팅그룹,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 13, 8층",자율주행,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",40,-
(주)사람인에이치에스,경력 5년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",자율주행,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억
(주)티디솔루션,경력무관 · 정규직,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","광주 광산구 평동산단7번로 86, 2층",자율주행,중소기업업종그 외 기타 달리 분류되지 않은 제품 제..,6,-
그레이스앤파트너스(주),경력 4년↑ · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 13층",자율주행,"중소기업, 스타트업, 주식회사, 병역특례..업종산업용 로봇 제조업",75,-
써치스퀘어,4 ~ 11년 · 정규직,면접 후 결정,"서울 영등포구 국제금융로6길 33, 1311호",자율주행,중소기업업종고용 알선업홈페이지,-,-
(주)맨파워코리아,3 ~ 10년 · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만"
(주)프로써치코리아,3 ~ 12년 · 정규직,면접 후 결정,서울 강남구 테헤란로 333 신도벤처타워 10층,자율주행,주식회사업종시설관리·경비·용역,6,-
(주)브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-
(주)솔찬컴퍼니,경력 5년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-
