기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
랑데뷰,경력무관 · 정규직,"연봉 5,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",자율주행,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-,32
엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,자율주행,"중소기업, 주식회사설립일*",-,-,33
마젠타로보틱스,경력(년수무관) · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만,34
랑데뷰,경력무관 · 정규직,면접 후 결정,"서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",자율주행,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-,35
티와이엠아이씨티,경력 3년↑ · 정규직,면접 후 결정,충남 공주시 우성면 차동로 476-42,자율주행,"중소기업, 외부감사법인, 연구소, 주식회..업종응용 소프트웨어 개발 및 공급업",56,-,36
티와이엠아이씨티,신입 · 경력 · 정규직,면접 후 결정,충남 공주시 우성면 차동로 476-42,자율주행,"중소기업, 외부감사법인, 연구소, 주식회..업종응용 소프트웨어 개발 및 공급업",56,-,37
보스반도체,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로255번길 24, 3층",자율주행,중소기업업종비메모리용 및 기타 전자집적회로 제조업,61,-,38
셀플러스코리아,신입 · 정규직,면접 후 결정,"경기 안양시 동안구 학의로 282, 18층 1814호 (관양동,금강펜테리움아이티타워)",자율주행,"중소기업, 주식회사업종기타 정보기술 및 컴퓨터운영 관련 서비..",18,"16억 1,675만",39
코너스톤코리아,경력무관 · 정규직,회사내규에 따름,"서울 강남구 언주로 732, 8층",자율주행,"중소기업, 외국 법인기업, 주식회사업종경영 컨설팅업",47,-,40
코가로보틱스,경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",자율주행,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-,41
에스유엠,경력무관 · 계약직,면접 후 결정,"경기 시흥시 배곧2로 82, 301호 (배곧동,미래모빌리티기술센터)",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-,42
유니트론텍,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 영동대로 638, 9층 (삼성동,삼보빌딩)",자율주행,"코스닥, 중견기업, 외부감사법인, 주식회..업종전지 및 케이블 도매업",93,"4,261억 2,530만",43
모베이스전자,신입 · 경력 · 정규직,면접 후 결정,경기 수원시 권선구 산업로156번길 100,자율주행,"코스닥, 중견기업, 1000대기업, 외부감사..업종자동차용 신품 전기장치 제조업",1046,-,44
센서뷰,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교역로 240, 에이동 705호,705-1호",자율주행,"코스닥, 중소기업, 주식회사업종기타 절연선 및 케이블 제조업",113,"56억 3,912만",45
센서뷰,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교역로 240, 에이동 705호,705-1호",자율주행,"코스닥, 중소기업, 주식회사업종기타 절연선 및 케이블 제조업",113,"56억 3,912만",46
넥스트칩,경력 5년↑ · 정규직 외,면접 후 결정,"경기 성남시 분당구 판교역로 230, B동 10층 (삼평동,삼환하이펙스)",자율주행,"코스닥, 중소기업, 주식회사, 병역특례 ..업종비메모리용 및 기타 전자집적회로 제조업설립일",-,-,47
언맨드솔루션,경력무관 · 정규직,면접 후 결정,"서울 마포구 성암로 330, 4층 423호,424호,425호 (상암동,디엠씨첨단산업센터)",자율주행,중소기업업종응용 소프트웨어 개발 및 공급업,35,-,48
포도,신입 · 정규직,면접 후 결정,"경기 성남시 수정구 창업로 43, B동 1001호",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종컴퓨터 프로그래밍 서비스업",50,-,49
오토노머스에이투지,경력무관 · 계약직,"월급 250 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다","경북 경산시 가마실길 50, 201호",자율주행,"중소기업, 연구소, 주식회사, 병역특례 ..",133,-,50
일렉트릭스,경력 2년↑ · 정규직,면접 후 결정,부산 강서구 경전철로24번길 43-3,자율주행,"중소기업, 외부감사법인, 주식회사업종전기용 기계ㆍ장비 및 관련 기자재 도매업",36,-,51
나비프라,신입 · 경력 · 정규직 외,면접 후 결정,"서울 서초구 서초대로73길 7, 3층",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-,52
모빈,1 ~ 10년 · 정규직,면접 후 결정,"대구 달서구 성서공단로11길 32, 연구1동 4층 403호",자율주행,중소기업업종응용 소프트웨어 개발 및 공급업,5,-,53
마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만,54
코난테크놀로지,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 강남대로 327, 6층, 7층, 9층 (서초동,대륭서초타워)",자율주행,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",270,-,55
한국자동차연구원,경력무관 · 계약직,면접 후 결정,충남 천안시 동남구 풍세면 풍세로 303,자율주행,"기타, 비영리단체/협회업종기타 엔지니어링 서비스업",802,-,56
지엠비코리아,경력 · 정규직,회사내규에 따름,경남 창원시 성산구 웅남로 618,자율주행,"코스피, 외국인 투자기업, 외부감사법인,..업종그 외 자동차용 신품 부품 제조업",697,-,57
