기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
나인벨,2 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만",250
나인벨,2 ~ 5년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만",251
씨아이제이코리아,경력무관 · 정규직,면접 후 결정,경기 오산시 서랑로 36,로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종컴퓨터 제조업설립일",-,-,252
주식회사잇츠센서,신입 · 경력 · 정규직,면접 후 결정,"대구 달서구 월곡로 260, 7층 (상인프라자)",로봇제어,"중소기업, 주식회사업종솔루션·SI·ERP·CRM설립일",-,-,253
엠바이지,신입 · 경력 · 정규직,면접 후 결정,"부산 영도구 남항서로 42, 3층",로봇제어,"중소기업, 주식회사업종배전반 및 전기 자동제어반 제조업",12,-,254
유엔디,경력무관 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 31,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",20,-,255
아이로,경력무관 · 정규직,면접 후 결정,"경기 광명시 덕안로104번길 17, 310호,311호,312호,313호",로봇제어,"중소기업, 외국인 투자기업, 연구소, 주..업종산업용 로봇 제조업",17,"8억 7,810만",256
라온로보틱스,경력 5년↑ · 정규직,"연봉 4,200 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",부산 기장군 정관읍 정관상곡1길 17-10,로봇제어,중소기업업종산업용 로봇 제조업,11,-,257
시스콘로보틱스,경력무관 · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-,258
시스콘로보틱스,경력 3년↑ · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-,259
하이퍼놀로지,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 장안구 서부로 2066, 산학협력센터 85407호 (천천동,성균관대학교)",로봇제어,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",9,-,260
뉴빌리티,경력(년수무관) · 정규직,면접 후 결정,"서울 성동구 왕십리로 115, 2층",로봇제어,"중소기업, 스타트업, 연구소, 주식회사, ..업종컴퓨터 프로그래밍 서비스업",98,-,261
트윔,경력 2년↑ · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만",262
주식회사휴먼인모션로보틱스아시아,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 역삼로 227, 3층 (역삼동, 썬스코 빌딩)",로봇제어,"외국인 투자기업, 주식회사업종기계·설비·자동차설립일",-,-,263
트리즈엔지니어링,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단5길 10-12,로봇제어,"중소기업, 주식회사업종기타 엔지니어링 서비스업",24,"23억 5,687만",264
라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-,265
라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-,266
지비티코리아,신입 · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억,267
알투비,경력무관 · 정규직,"연봉 3,300 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","인천 남동구 은봉로 52, 5층 506호 (논현동,엔아이씨지식산업센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종그 외 기타 분류 안된 금속 가공 제품 제..",9,-,268
지오로봇,경력무관 · 정규직,면접 후 결정,"대구 달서구 달구벌대로 1130, 1층 101호",로봇제어,중소기업업종산업용 로봇 제조업,7,-,269
테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만",270
테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만",271
럭스로보,경력 5년↑ · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 13층",로봇제어,"중소기업, 스타트업, 주식회사, 병역특례..업종산업용 로봇 제조업",80,-,272
에니아이,경력무관 · 정규직 외,면접 후 결정,서울 성동구 상원1길 22 굿타워,로봇제어,"중소기업, 외국 법인기업, 주식회사, 병..업종전기·전자·제어",28,-,273
코드,1 ~ 10년 · 정규직,면접 후 결정,인천 서구 봉수대로1394번길 39-12,로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종체조, 육상 및 체력단련용 장비 제조업",3,-,274
옵토마인드,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 덕영대로1556번길 16, 비동3층301호,에이동4층405호,에이동6층608호",로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",26,"15억 6,463만",275
옵토마인드,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 덕영대로1556번길 16, 비동3층301호,에이동4층405호,에이동6층608호",로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",26,"15억 6,463만",276
네이버랩스,신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",로봇제어,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-,277
한국로봇융합연구원,경력무관 · 정규직,면접 후 결정,경북 포항시 남구 지곡로 39,로봇제어,"기타, 연구소업종기타 공학 연구개발업",176,-,278
내비간티스코리아유한회사,경력 3년↑ · 정규직,면접 후 결정,서울 강서구 양천로 424 가양역 데시앙플렉스 지식산업센터,로봇제어,"중소기업, 외국인 투자기업, 사단법인, ..업종기계·설비·자동차",3,-,279
부남테크,신입 · 정규직,"연봉 2,700 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",경기 안산시 상록구 담원안길 25,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",12,"16억 4,370만",280
엔바이어스,경력무관 · 정규직,면접 후 결정,"서울 성동구 상원12길 34, 914호",로봇제어,"중소기업, 주식회사, 병역특례 인증업체업종그 외 기타 특수목적용 기계 제조업",6,-,281
메가젠임플란트,경력(년수무관) · 정규직,면접 후 결정,대구 달성군 다사읍 세천로7길 45,로봇제어,"중견기업, 외부감사법인, 주식회사, 수출..업종치과용 기기 제조업",700,"2,119억 7,765만",282
넥스콘테크놀러지,신입 · 경력 · 정규직 외,면접 후 결정,충남 천안시 서북구 성거읍 석문길 95,로봇제어,중견기업업종전기용 기계ㆍ장비 및 관련 기자재 도매업,176,-,283
델타일렉트로닉스코리아,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 219, 1511호",로봇제어,"중소기업, 외국 법인기업, 주식회사업종전기용 기계ㆍ장비 및 관련 기자재 도매업",40,"259억 2,949만",284
프레쉬테크,경력무관 · 정규직 외,"연봉 4,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",제주 제주시 오광로6길 8,로봇제어,중소기업업종일반용 전기 조명장치 제조업,3,-,285
에스티에스로보테크,경력무관 · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만",286
고스트로보틱스테크놀로지,3 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",로봇제어,중소기업업종산업용 로봇 제조업,5,-,287
고스트로보틱스테크놀로지,4 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",로봇제어,중소기업업종산업용 로봇 제조업,5,-,288
아이아이컴바인드,경력무관 · 정규직,면접 후 결정,서울 마포구 어울마당로5길 41,로봇제어,"중견기업, 주식회사, 외부감사법인, 수출..업종안경 및 안경렌즈 제조업",1072,-,289
에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-,290
에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-,291
에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-,292
창공에프에이,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단3길 20-13,로봇제어,"중소기업, 외부감사법인, 주식회사, 병역..업종산업용 로봇 제조업",37,-,293
엑스와이지,경력 5년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-,294
로엔서지컬,경력 2년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-,295
알파로보틱스,신입 · 경력 · 정규직,회사내규에 따름,부산 기장군 장안읍 명례산단7로 30,로봇제어,"중소기업, 수출입 기업업종산업용 로봇 제조업",46,-,296
엘에스이,경력무관 · 정규직 외,면접 후 결정,"경기 용인시 기흥구 기흥로 58-1, 에이동 1601호 - 1609호",로봇제어,중소기업업종기타 반도체소자 제조업,201,-,297
세이프틱스,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 봉은사로30길 43, 1층",로봇제어,"중소기업, 주식회사업종기타 기술 시험, 검사 및 분석업",18,-,298
현전사,경력무관 · 정규직,면접 후 결정,부산 부산진구 전포대로255번길 33,로봇제어,"중소기업, 주식회사업종그 외 기타 기계 및 장비 도매업",65,-,299
오병,신입 · 경력 · 정규직,면접 후 결정,경기 안산시 단원구 엠티브이1로 149,로봇제어,"중소기업, 주식회사업종그 외 기타 일반목적용 기계 제조업",16,"64억 3,076만",300
프레쉬테크,경력무관 · 정규직 외,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",제주 제주시 오광로6길 8,로봇제어,중소기업업종일반용 전기 조명장치 제조업,3,-,301
뉴로메카,신입 · 경력 · 정규직 외,면접 후 결정,서울 성동구 아차산로 78,로봇제어,"코스닥, 중소기업, 스타트업, 주식회사, ..업종산업용 로봇 제조업",142,"73억 3,308만",302
세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,로봇제어,중소기업업종그 외 자동차용 신품 부품 제조업,52,-,303
덕산메카시스,6 ~ 12년 · 정규직,면접 후 결정,"경기 화성시 동탄기흥로 590, B동 3층 312호 (영천동,동탄센트럴에이스타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,32,"90억 8,688만",304
엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-,305
비티알수성,3 ~ 15년 · 정규직,면접 후 결정,인천 서구 파랑로466번길 88,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 기계 및 장비 도매업",15,-,306
덕산메카시스,4 ~ 10년 · 정규직,면접 후 결정,"경기 화성시 동탄기흥로 590, B동 3층 312호 (영천동,동탄센트럴에이스타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,32,"90억 8,688만",307
미래산업,신입 · 경력 · 정규직,면접 후 결정,충남 천안시 서북구 백석공단7로 65,로봇제어,"코스피, 중소기업, 외부감사법인, 주식회..업종기타 측정, 시험, 항해, 제어 및 정밀기..",106,-,308
창세이노베이션,경력무관 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 168, A동 1011호 (가산동,우림라이온스밸리)",로봇제어,중소기업업종그 외 기타 전자부품 제조업,15,-,309
드림,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 신원로 88, 103동 610호",로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 전기장비 제조업",70,"287억 7,522만",310
LS메카피온,경력무관 · 정규직,면접 후 결정,대구 달서구 호산동로 12-9,로봇제어,"대기업, 주식회사업종전동기 및 발전기 제조업",190,600억 100만,311
로아스,3 ~ 10년 · 정규직,면접 후 결정,"경기 안양시 동안구 엘에스로116번길 39, 엘에스엠트론 하이테크센타 사무동 402호",로봇제어,"중소기업, 외국인 투자기업, 주식회사업종산업용 로봇 제조업",40,"132억 8,600만",312
로아스,2 ~ 10년 · 정규직,면접 후 결정,"경기 안양시 동안구 엘에스로116번길 39, 엘에스엠트론 하이테크센타 사무동 402호",로봇제어,"중소기업, 외국인 투자기업, 주식회사업종산업용 로봇 제조업",40,"132억 8,600만",313
성신인스트루먼트,경력(년수무관) · 정규직,면접 후 결정,서울 구로구 경인로 554,로봇제어,"중소기업, 외부감사법인, 수출입 기업업종정밀기기 및 과학기기 도매업",33,-,314
성신인스트루먼트,경력(년수무관) · 정규직,면접 후 결정,서울 구로구 경인로 554,로봇제어,"중소기업, 외부감사법인, 수출입 기업업종정밀기기 및 과학기기 도매업",33,-,315
"Control Techniques, a NIDEC company",경력 2년↑ · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 문정현대지식산업센터 313,314호(문정동)",로봇제어,"외국 법인기업, 주식회사, 수출입 기업업종전기·전자·제어설립일",-,-,316
쎄믹스,신입 · 경력 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",317
포항공과대학교산학협력단,경력무관 · 계약직,면접 후 결정,경북 포항시 남구 청암로 77,로봇제어,"기타, 학교/교육기관업종기타 전문 서비스업설립일*",-,"620억 6,640만",318
피앤에스미캐닉스,경력무관 · 정규직,"연봉 2,900 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 영등포구 선유로 70, 509호 (문래동3가,우리벤처타운2)",로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 의료용 기기 제조업",24,-,319
THE SYSTEM,신입 · 정규직,"연봉 2,800 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",부산 강서구 유통단지1로57번길 34,로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업홈페이지,-,-,320
인텍오토메이션,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 정남면 정남산단로 135,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",40,-,321
인텍오토메이션,1 ~ 3년 · 정규직,면접 후 결정,경기 화성시 정남면 정남산단로 135,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",40,-,322
인텍오토메이션,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 정남면 정남산단로 135,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",40,-,323
인텍오토메이션,신입 · 정규직,면접 후 결정,경기 화성시 정남면 정남산단로 135,로봇제어,"중소기업, 주식회사, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",40,-,324
디에어,경력무관 · 정규직,면접 후 결정,"전남 나주시 교육길 13, 6동 506호 (빛가람동,스마트파크스마트파크)",로봇제어,중소기업업종산업용 로봇 제조업,13,-,325
랑데뷰,경력무관 · 정규직,"연봉 5,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",로봇제어,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-,326
그린다,경력무관 · 정규직,면접 후 결정,"충북 청주시 청원구 주성로 74, 301호 (사천동,예현빌딩)",로봇제어,"중소기업, 주식회사업종물리, 화학 및 생물학 연구개발업",12,5억,327
레인보우로보틱스,3 ~ 10년 · 정규직,면접 후 결정,대전 유성구 엑스포로339번길 10-19,로봇제어,"코스닥, 중소기업, 외부감사법인, 연구소..업종산업용 로봇 제조업",76,-,328
로보티즈,경력 3년↑ · 정규직 외,면접 후 결정,서울 강서구 마곡중앙5로1길 37,로봇제어,"코스닥, 중소기업, 외부감사법인, 주식회..업종그 외 기타 특수목적용 기계 제조업",148,-,329
AJ네트웍스,경력무관 · 인턴직,면접 후 결정,"서울 송파구 정의로8길 9 (문정동,에이제이빌딩)",로봇제어,"코스피, 대기업, 주식회사업종컴퓨터 및 사무용 기계ㆍ장비 임대업설립일",-,-,330
앤스코,경력 5년↑ · 정규직,면접 후 결정,대전 유성구 엑스포로 419,로봇제어,"중소기업, 주식회사, 연구소업종기타 기술 시험, 검사 및 분석업",98,-,331
자동차공학연구소,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 양재천로17길 19, 2층, 3층 (양재동,태암빌딩)",로봇제어,중소기업업종기타 공학 연구개발업,15,-,332
스마트뱅크,경력 10년↑ · 정규직,면접 후 결정,"대전 유성구 테크노2로 160, 510호",로봇제어,중소기업업종컴퓨터 제조업,39,-,333
엑스와이지,경력 2년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-,334
코스텍시스템㈜,7 ~ 15년 · 정규직,면접 후 결정,경기 평택시 서탄면 방꼬지길 231,로봇제어,"코넥스, 중소기업, 외부감사법인, 연구소..업종반도체 제조용 기계 제조업",50,"269억 5,242만",335
마젠타로보틱스,경력(년수무관) · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만,336
이노비즈,신입 · 정규직,회사내규에 따름,경기 시흥시 엠티브이북로193번길 2,로봇제어,"중소기업, 주식회사, 외부감사법인, 병역..업종반도체 제조용 기계 제조업",79,-,337
케이이에스,신입 · 경력 · 정규직,면접 후 결정,"경기 안양시 동안구 시민대로365번길 40, C동 3701호",로봇제어,"중소기업, 주식회사업종기타 기술 시험, 검사 및 분석업",84,113억 346만,338
위드포인츠,경력 3년↑ · 정규직,면접 후 결정,"세종 한누리대로 1966, 605호",로봇제어,"중소기업, 주식회사업종기타 공학 연구개발업",16,"5억 6,977만",339
LS메카피온,경력 5년↑ · 정규직,면접 후 결정,대구 달서구 호산동로 12-9,로봇제어,"대기업, 주식회사업종전동기 및 발전기 제조업",190,600억 100만,340
LS메카피온,경력 10년↓ · 정규직,면접 후 결정,대구 달서구 호산동로 12-9,로봇제어,"대기업, 주식회사업종전동기 및 발전기 제조업",190,600억 100만,341
지비티코리아,경력 3년↑ · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억,342
어드밴스솔루션,경력무관 · 정규직,면접 후 결정,"경기 안산시 상록구 한양대학로 55, 527호 (사동,창업보육센터)",로봇제어,중소기업업종산업용 로봇 제조업,6,-,343
인텔리안테크놀로지스,경력 5년↑ · 정규직,면접 후 결정,경기 평택시 진위면 진위산단로 18-7,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종기타 무선 통신장비 제조업",440,-,344
인텔리안테크놀로지스,2 ~ 5년 · 정규직,면접 후 결정,경기 평택시 진위면 진위산단로 18-7,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종기타 무선 통신장비 제조업",440,-,345
인텔리안테크놀로지스,경력 3년↑ · 정규직,면접 후 결정,경기 평택시 진위면 진위산단로 18-7,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종기타 무선 통신장비 제조업",440,-,346
제타크리젠,경력 3년↑ · 정규직,면접 후 결정,"경기 군포시 고산로 166, 103동 707호",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",7,"5억 5,301만",347
랑데뷰,경력무관 · 정규직,면접 후 결정,"서울 송파구 법원로 128, C동 1718호 (문정동,문정역에스케이브이1)",로봇제어,"중소기업, 연구소, 주식회사업종그 외 기타 특수목적용 기계 제조업",7,-,348
아이엔지글로벌,경력무관 · 정규직,면접 후 결정,경북 경주시 외동읍 문산2산단4로 19,로봇제어,"중소기업, 연구소, 주식회사업종전자 응용 절삭기계 제조업",15,-,349
아이티즈,경력무관 · 정규직,면접 후 결정,"대전 유성구 테크노4로 17, A동 6층 602호 (관평동,대덕비즈센터)",로봇제어,중소기업업종무인 항공기 및 무인 비행장치 제조업,9,"50억 8,000만",350
엘템,신입 · 경력 · 정규직,면접 후 결정,"전북 전주시 완산구 아중로 33, 406호",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 음향기기 제조업",6,"8억 5,918만",351
알지에이아이엔씨,신입 · 경력 · 정규직,면접 후 결정,"서울 서초구 서초대로 396, 7층 705호",로봇제어,"중소기업, 연구소업종전기ㆍ전자공학 연구개발업",3,-,352
로브로스,신입 · 경력 · 정규직 외,"연봉 5,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 성동구 연무장5가길 25, 1303호",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",9,"2억 4,000만",353
코너스톤코리아,경력무관 · 정규직,회사내규에 따름,"서울 강남구 언주로 732, 8층",로봇제어,"중소기업, 외국 법인기업, 주식회사업종경영 컨설팅업",47,-,354
티앤티솔루션,신입 · 경력 · 정규직,면접 후 결정,"서울 용산구 새창로 101, 1층",로봇제어,"중소기업업종컴퓨터 및 주변장치, 소프트웨어 도매업",36,-,355
코가로보틱스,경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",로봇제어,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-,356
제이디,경력무관 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 80,로봇제어,"중소기업, 주식회사, 수출입 기업업종컴퓨터 제조업",66,"162억 9,442만",357
대한상공회의소 경기인력개발원,경력무관 · 계약직,회사내규에 따름,경기 파주시 와석순환로172번길 16 경기인력개발원,로봇제어,학교/교육기관업종전문·기능학원설립일,-,-,358
대한상공회의소 경기인력개발원,신입 · 경력 · 계약직,회사내규에 따름,경기 파주시 와석순환로172번길 16 경기인력개발원,로봇제어,학교/교육기관업종전문·기능학원설립일,-,-,359
코딩을디자인하다학원,경력무관 · 정규직 외,면접 후 결정,제주 서귀포시 대정읍 글로벌에듀로 390,로봇제어,-,-,-,360
로봇밸리,경력(년수무관) · 정규직,면접 후 결정,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",로봇제어,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-,361
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,로봇제어,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",362
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,로봇제어,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",363
로보콘,경력 1년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 외부감사법인, 주식회사, 수출..홈페이지",-,-,364
유엔디,경력(년수무관) · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 31,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",20,-,365
아이옵스,신입 · 정규직,면접 후 결정,"대전 유성구 과학로 169-84, 205호",로봇제어,중소기업업종응용 소프트웨어 개발 및 공급업,100,"51억 2,369만",366
가율 국제특허법률사무소,경력무관 · 정규직 외,면접 후 결정,"부산 연제구 중앙대로 1243, 601호",로봇제어,중소기업업종변리사업설립일*,-,-,367
하이젠알앤엠,2 ~ 15년 · 정규직,면접 후 결정,경남 창원시 성산구 공단로473번길 57,로봇제어,"중소기업, 스타트업업종전동기 및 발전기 제조업",215,"879억 5,716만",368
해신,경력무관 · 정규직,면접 후 결정,전남 고흥군 도양읍 도양해안로 442,로봇제어,"중소기업, 주식회사, 연구소, 수출입 기업업종기타 수산동물 가공 및 저장 처리업",9,-,369
시그봇,경력무관 · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억,370
한국데이터통신,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 한내로 56, 2층",로봇제어,"중소기업, 주식회사, 수출입 기업업종전기ㆍ전자공학 연구개발업",15,20억 87만,371
시그봇,경력무관 · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억,372
오리온테크놀리지,신입 · 경력 · 정규직,면접 후 결정,경북 김천시 아포읍 아포공단길 147,로봇제어,"중소기업, 스타트업, 외부감사법인, 주식..업종선박 구성 부분품 제조업",99,-,373
로브로스,신입 · 경력 · 정규직 외,"연봉 5,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 성동구 연무장5가길 25, 1303호",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",9,"2억 4,000만",374
아이로,1 ~ 4년 · 정규직,면접 후 결정,"경기 광명시 덕안로104번길 17, 310호,311호,312호,313호",로봇제어,"중소기업, 외국인 투자기업, 연구소, 주..업종산업용 로봇 제조업",17,"8억 7,810만",375
브릴스,경력 3년↑ · 정규직,면접 후 결정,인천 중구 축항대로296번길 56-22,로봇제어,"중소기업, 주식회사, 수출입 기업업종배전반 및 전기 자동제어반 제조업",42,-,376
알지에이아이엔씨,경력 3년↑ · 정규직,"연봉 10,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 ","서울 서초구 서초대로 396, 7층 705호",로봇제어,"중소기업, 연구소업종전기ㆍ전자공학 연구개발업",3,-,377
