,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
28,(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  스마트폰 어플리케이션,JSP,JAVA 모바일 , JAVA, JSP 개발",JAVA 전자정부 표준 프레임워크/Spring 웹 개발자 모집
29,(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  JAVA,JSP JAVA/JSP 프로그램 개발",의료영상처리 및 인공 지능 개발 - 머신러닝/딥러닝 개발자
30,(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,  솔루션·컨텐츠 SW 솔루션 영업,의료영상처리 및 인공 지능 개발 - 머신러닝/딥러닝 개발자
31,주식회사에스에이티벤처 코스닥 중견워크넷인증,경력2년,"연봉 3,000 만원 이상",경기도 군포시 엘에스로 175,딥러닝,  지원자격 ㆍ경력  경력 2년 이상 ㆍ학력  초대졸 이상 ㆍ급여  3천만원(대졸 초임 기준) 이상 / 협의 가능 ㆍ머신러닝 - 객체 검출...,"[2024년 공채] 모바일, JAVA, JSP 개발자 신입/경력 모집"
32,㈜로보티즈벤처 강소잡코리아,신입/경력,회사내규에 따름,서울특별시 강서구 마곡중앙5로1길 37,딥러닝,"  소프트웨어개발자,머신러닝엔지니어","[2024년 개발팀 공채] JAVA, JSP 개발자 신입,경력 모집"
33,㈜비상교육코스피 가족잡코리아,경력,회사내규에 따름,서울 구로구 구로동 170-10번지,딥러닝,"  웹기획,콘텐츠마케터,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,머신...",[2024년 영업팀 공채] IT기술영업 신입/경력 모집
34,㈜앤씨앤벤처 코스닥 강소잡코리아,신입/경력,회사내규에 따름,경기 성남시 분당구 판교로 323,딥러닝,"  앱개발자,머신러닝엔지니어,제품영업,기계엔지니어,반도체엔지니어,보안엔지니어,데이터사이언티스트,데이터엔지니어,네트워크엔지니어...",머신러닝(딥러닝) 개발 경력자 정규직 채용
35,이노레이㈜잡코리아,경력,"연봉 3,300 만원 ~ 3,300 만원",서울 서초구,딥러닝,"  데이터엔지니어,머신러닝엔지니어,R&D·연구원",[실외자율주행로봇 연구개발] 비전 인식 딥러닝 및 Localization
36,(주)코드랩이앤티사람인,경력2년,회사내규에 따름,서울 금천구 가산동 459-14,딥러닝,  IT개발·데이터,-
37,한국생산기술연구원공공 가족사람인,신입,회사내규에 따름,경기 안산시 상록구,딥러닝,  IT개발·데이터,-
