기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
(주)지구자동화,중소기업,300000,3551,0,0,0,0,0,0,0,0,0,0,로봇제어
주식회사 웨이브엠,중소기업,310363,0,263198,252933,227053,310363,277180,267931,10364,26209,27036,2022,로봇제어
유어사이드(주),중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)에스유아이티,소기업,92096,3160,76378,68984,61051,92096,215681,233792,7347,7937,26886,2022,로봇제어
엘에스메카피온(주),대기업,6000090,0,2362509,1720449,1374257,6000090,4522362,3475745,621939,349917,329618,2022,로봇제어
씨에스아이시스템주식회사,중소기업,177010,4695,41469,47523,38780,177010,188780,132073,3077,8743,6668,2019,로봇제어
주식회사리얼게인,중소기업,2342041,5623,2558879,1373306,1399894,2342041,2046260,654423,496255,373411,69234,2022,로봇제어
(주)커리어앤스카우트,중소기업,305000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)티라로보틱스,중소기업,85390,5215,0,0,0,0,0,0,0,0,0,0,로봇제어
브이씨티이,중소기업,1591477,4619,415129,389590,192686,1591477,1515962,954317,25539,196903,-70442,2022,로봇제어
더블로직스,,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
시니어앤파트너즈,중소기업,0,3551,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)디자인피버,중소기업,1324444,4332,460683,514910,503859,1324444,1621345,1714708,35773,41050,96617,2022,로봇제어
(주)커리어앤유,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
아이티에스(주),중소기업,200000,5723,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)에이치알그룹,중소기업,0,2967,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)스카우트,중소기업,2616931,3147,482113,437795,362214,2616931,2237130,1985108,44318,75581,66091,2022,로봇제어
주식회사 제이티체인,중소기업,0,3580,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)덴티움,중견기업,35580000,5340,32409542,26498231,22069831,28531092,22524207,17884341,6149604,4700302,1444758,2022,로봇제어
주식회사 한컴어썸텍,중소기업,81460,3877,74292,69776,13347,81460,64024,47401,4516,6428,10865,2022,로봇제어
(주)마스,중소기업,1530000,4429,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)휴먼디지탈,중소기업,80000,1130,0,0,0,0,0,0,0,0,0,0,로봇제어
MS커리어센터,소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
주식회사 비티원,중소기업,950000,4059,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)아이씨디,중견기업,13328640,5835,14237010,15953573,17265979,13328640,10251425,29384691,-810564,-90650,2916575,2022,로봇제어
(주)프레도,중소기업,20565,4435,13766,258,-25701,20565,8975,12611,-46132,-22035,-31470,2021,로봇제어
(주)벤처피플,중소기업,0,5730,0,0,0,0,0,0,0,0,0,0,로봇제어
주식회사 라피플코리아리미티드,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
HR컨설팅(주),중소기업,330000,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)엔터웨이파트너스,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)키친어스,,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
씨제이대한통운(주),대기업,821465386,6437,342674966,341680405,326584204,821465386,772864670,693611989,20057620,9378150,9554908,2022,로봇제어
주식회사 브랜드미,중소기업,291568,4072,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)위드브레인,중소기업,48000,2205,0,0,0,0,0,0,0,0,0,0,로봇제어
유버(주),중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
밸류에잇 벤처스,,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
서울특별시보라매병원,중기업,28809645,0,6692383,5804576,-1251616,28809645,28092588,26395265,887806,7056192,1036551,2022,로봇제어
(주)메디픽셀,중소기업,2727,6092,934694,128064,60647,2727,-3566,4636,-148410,-32962,-12444,2021,로봇제어
(주)프로메카,중소기업,449991,5171,161173,50352,3851,449991,210109,100024,125820,46501,5393,2022,로봇제어
(주)글로벌스카우트,중소기업,0,1771,14736,12878,5303,62315,46337,21217,1858,-2330,-825,2015,로봇제어
(주)더라이징스타,중소기업,322935,3353,-21636,251,13858,322935,434464,451452,-21887,-13607,350,2022,로봇제어
에버브레인컨설팅(주),중소기업,150000,3659,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)김포산업,중소기업,767540,5056,266721,222502,209391,767540,804210,652253,44927,17555,54860,2022,로봇제어
(주)비전드림교육,중소기업,124614,0,13010,8072,6762,124614,91324,34150,4938,1310,3762,2022,로봇제어
(주)쓰리디오토메이션,중소기업,0,4362,0,0,0,0,0,0,0,0,0,0,로봇제어
에디웍스(주),중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
주식회사엔비테크,소기업,0,2601,0,0,0,0,0,0,0,0,0,0,로봇제어
나라에이치알,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
아이엠아이크리티컬엔지어링코리아(주),중견기업,9522486,4611,4100907,4835833,4558832,9522486,9254345,9499848,642887,1321767,1050454,2022,로봇제어
(주)사피온코리아,대기업,247937,7227,0,0,0,0,0,0,0,0,0,0,로봇제어
우리산업(주),중견기업,35168383,5750,8307933,11645191,11632960,35168383,26954307,27423035,-1731460,90160,495678,2022,로봇제어
주식회사 온나비,중소기업,14560,4124,0,0,0,0,0,0,0,0,0,0,로봇제어
수퍼빈(주),중소기업,765476,4381,2822132,1925278,1355914,765476,461436,177445,-602605,-316352,-235916,2022,로봇제어
