기업이름,분야,평점,연봉,2차산업군
유엘코리아(주) ,제조/화학,2.7,4206,석유/화학/에너지
티유브이라인란드코리아(주) ,제조/화학,2.2,4394,석유/화학/에너지
한화케미칼(주) ,제조/화학,3.4,5316,석유/화학/에너지
조광페인트(주) ,제조/화학,3.1,4051,석유/화학/에너지
(주)서울화장품 ,제조/화학,2.0,2823,석유/화학/에너지
포스코에너지(주) ,제조/화학,3.5,5265,석유/화학/에너지
한국옵티칼하이테크(주) ,제조/화학,2.8,4336,석유/화학/에너지
(주)씨엔에프 ,제조/화학,1.9,3489,석유/화학/에너지
상아프론테크(주) ,제조/화학,2.5,3951,석유/화학/에너지
엔피씨(주) ,제조/화학,2.2,4527,석유/화학/에너지
일진다이아몬드(주) ,제조/화학,2.5,4129,석유/화학/에너지
(주)제닉 ,제조/화학,2.1,3840,석유/화학/에너지
(주)오에이티씨 ,제조/화학,2.1,2932,석유/화학/에너지
글로텍엔지니어링(주) ,제조/화학,2.2,3612,석유/화학/에너지
해브앤비(주) ,제조/화학,2.8,4422,석유/화학/에너지
삼부정밀화학(주) ,제조/화학,1.9,3482,석유/화학/에너지
(주)삼광 ,제조/화학,2.4,3581,석유/화학/에너지
(주)인터코스코리아 ,제조/화학,2.0,3973,석유/화학/에너지
제네랄일렉트릭인터내셔날인코포레이티드 ,제조/화학,3.5,5880,석유/화학/에너지
삼전순약공업(주) ,제조/화학,2.3,3141,석유/화학/에너지
신도산업(주) ,제조/화학,1.7,3087,석유/화학/에너지
(주)블리스팩 ,제조/화학,2.2,3352,석유/화학/에너지
와이엠티(주) ,제조/화학,2.2,3839,석유/화학/에너지
(주)한솔케미칼 ,제조/화학,3.5,8475,석유/화학/에너지
(주)시드물 ,제조/화학,1.7,2643,석유/화학/에너지
(주)에프앤코 ,제조/화학,2.5,4093,석유/화학/에너지
(주)오알켐 ,제조/화학,2.2,3937,석유/화학/에너지
코코도르(주) ,제조/화학,2.3,3359,석유/화학/에너지
애경케미칼(주) ,제조/화학,2.8,4492,석유/화학/에너지
(주)큐아이엠 ,제조/화학,2.2,3201,석유/화학/에너지
(주)삼화 ,제조/화학,1.6,3277,석유/화학/에너지
(주)테이팩스 ,제조/화학,2.8,4113,석유/화학/에너지
(재)한국전기연구원 ,제조/화학,3.9,5440,석유/화학/에너지
(주)레이크머티리얼즈 ,제조/화학,3.0,3901,석유/화학/에너지
케이피엑스케미칼(주) ,제조/화학,2.6,4477,석유/화학/에너지
디아이지에어가스(주) ,제조/화학,3.1,5105,석유/화학/에너지
(주)카오리온코스메틱스 ,제조/화학,1.6,3084,석유/화학/에너지
(주)현대엘앤씨 ,제조/화학,2.9,5105,석유/화학/에너지
화인폰(주) ,제조/화학,2.3,2836,석유/화학/에너지
(주)에뛰드 ,제조/화학,3.3,4144,석유/화학/에너지
애경화학(주) ,제조/화학,2.3,3906,석유/화학/에너지
(주)스와니코코 ,제조/화학,2.1,3220,석유/화학/에너지
생고뱅코리아(주) ,제조/화학,2.4,4303,석유/화학/에너지
서원인텍(주) ,제조/화학,1.8,3697,석유/화학/에너지
엔프라니(주) ,제조/화학,2.5,3689,석유/화학/에너지
한국방송통신전파진흥원 ,제조/화학,2.7,3579,석유/화학/에너지
대한유화(주) ,제조/화학,3.5,5614,석유/화학/에너지
(주)넥센 ,제조/화학,2.6,4589,석유/화학/에너지
한국다우케미칼(주) ,제조/화학,3.9,5779,석유/화학/에너지
동아화성(주) ,제조/화학,2.3,4071,석유/화학/에너지
(주)녹수 ,제조/화학,2.1,3751,석유/화학/에너지
에이치디씨현대이피(주) ,제조/화학,2.4,4502,석유/화학/에너지
티유브이슈드코리아(주) ,제조/화학,2.9,4243,석유/화학/에너지
(주)삐아 ,제조/화학,1.5,2939,석유/화학/에너지
(주)사임당화장품 ,제조/화학,2.1,3533,석유/화학/에너지
(주)에이빌코리아 ,제조/화학,2.1,2388,석유/화학/에너지
한진화학(주) ,제조/화학,1.9,2927,석유/화학/에너지
(주)네오팜 ,제조/화학,2.9,4366,석유/화학/에너지
