기업이름,분야,평점,연봉,2차산업군
(주)세아네트웍스 ,건설업,2.2,3893,건설업
세빌스코리아(주) ,건설업,2.8,3899,건설업
(주)경동엔지니어링 ,건설업,2.7,3942,건설업
(주)포스코에이앤씨건축사사무소 ,건설업,3.1,4390,건설업
극동건설(주) ,건설업,2.7,4564,건설업
(주)삼진일렉스 ,건설업,2.3,3386,건설업
(주)안강건설 ,건설업,1.9,5141,건설업
홈앤서비스(주) ,건설업,3.1,3886,건설업
(주)한샘서비스 ,건설업,2.9,3396,건설업
(주)흥화 ,건설업,2.9,4404,건설업
경남기업(주) ,건설업,2.8,5094,건설업
시흥시청 ,건설업,3.2,2926,건설업
(주)디투엔지니어링 ,건설업,2.2,3468,건설업
삼우씨엠건축사사무소(주) ,건설업,3.3,3958,건설업
세일종합기술공사(주) ,건설업,2.0,3667,건설업
양우건설(주) ,건설업,2.8,4232,건설업
요진건설산업(주) ,건설업,2.8,5436,건설업
대아이앤씨(주) ,건설업,2.6,4358,건설업
킹스맨(주) ,건설업,2.5,2997,건설업
에스큐엔지니어링(주) ,건설업,2.3,3422,건설업
대양엔바이오(주) ,건설업,2.9,3166,건설업
동문건설(주) ,건설업,3.2,5096,건설업
일성건설(주) ,건설업,3.2,4684,건설업
화성산업(주) ,건설업,3.1,3858,건설업
에이앤유디자인그룹건축사사무소(주) ,건설업,2.9,4143,건설업
에이에이아키그룹건축사사무소(주) ,건설업,2.7,5153,건설업
롯데에코월(주) ,건설업,2.7,3835,건설업
유창플러스(주) ,건설업,1.7,3146,건설업
한국전기안전써비스(주) ,건설업,2.5,3221,건설업
홍익기술단(주) ,건설업,2.9,3334,건설업
디이그제큐티브센터코리아(주) ,건설업,1.9,3085,건설업
엄지하우스(주) ,건설업,2.4,3375,건설업
(주)메이트플러스 ,건설업,3.5,4355,건설업
(주)예맥코리아 ,건설업,2.3,2977,건설업
에스에이치공사 ,건설업,3.5,4183,건설업
(주)대명종합건설 ,건설업,1.5,2762,건설업
(주)아이티엠코퍼레이션건축사사무소 ,건설업,3.2,3587,건설업
(주)아주디자인그룹 ,건설업,2.5,3379,건설업
대성글로벌네트웍(주) ,건설업,2.6,2494,건설업
이수건설(주) ,건설업,3.2,4820,건설업
원빌딩부동산중개(주) ,건설업,2.7,2893,건설업
전북테크노파크(재) ,건설업,3.2,3201,건설업
중흥토건(주) ,건설업,2.4,5518,건설업
동우공영(주) ,건설업,2.4,2826,건설업
(주)다산컨설턴트 ,건설업,3.0,4107,건설업
(주)이가종합건축사사무소 ,건설업,2.6,3582,건설업
글로벌엔지니어링테크놀로지(주) ,건설업,2.8,4808,건설업
동원건설산업(주) ,건설업,3.0,4678,건설업
이화공영(주) ,건설업,1.8,4069,건설업
(주)중앙감정평가법인 ,건설업,2.2,2426,건설업
남광토건(주) ,건설업,2.5,4892,건설업
에쓰씨엔지니어링(주) ,건설업,2.3,4440,건설업
한국종합엔지니어링(주) ,건설업,3.3,3639,건설업
현대알루미늄(주) ,건설업,2.6,3518,건설업
인천항만공사 ,건설업,3.8,4491,건설업
(주)종합건축사사무소동일건축 ,건설업,3.0,3499,건설업
(주)케이티에스테이트 ,건설업,3.5,5119,건설업
대방산업개발(주) ,건설업,3.1,4867,건설업
온리정보통신(주) ,건설업,2.3,3268,건설업
진흥기업(주) ,건설업,2.1,4962,건설업
토펙엔지니어링건축사사무소(주) ,건설업,2.5,2940,건설업
(주)이제이텍 ,건설업,1.8,3135,건설업
미래새한감정평가법인(주) ,건설업,2.2,2663,건설업
삼부토건(주) ,건설업,3.3,4863,건설업
효심(주) ,건설업,2.1,3528,건설업
(주)미래도시건설 ,건설업,2.1,3428,건설업
(주)인디자인 ,건설업,2.1,2974,건설업
(주)도시미래종합기술공사 ,건설업,2.0,3204,건설업
나우동인건축사무소(주) ,건설업,2.9,3935,건설업
코오롱환경서비스(주) ,건설업,2.1,3588,건설업
범건축종합건축사사무소(주) ,건설업,2.6,3108,건설업
종합건축사사무소건원(주) ,건설업,2.4,3964,건설업
삼성인력개발원 ,건설업,4.2,2834,건설업
금강엔지니어링 ,건설업,2.5,3202,건설업
새롬성원산업(주) ,건설업,2.4,3924,건설업
새한항업(주) ,건설업,2.7,2970,건설업
선경이엔씨(주) ,건설업,2.0,4669,건설업
태평양감정평가법인(주) ,건설업,2.7,2644,건설업
(주)영신디엔씨 ,건설업,2.8,4264,건설업
(주)유선엔지니어링건축사사무소 ,건설업,2.5,3659,건설업
경기테크노파크(재) ,건설업,3.4,3431,건설업
그린조이(주) ,건설업,2.3,2584,건설업
고려개발(주) ,건설업,2.8,4719,건설업
다원아이디앤씨(주) ,건설업,2.7,3436,건설업
위본건설(주) ,건설업,2.2,6625,건설업
포스코휴먼스(주) ,건설업,2.7,2976,건설업
한진개발공사 ,건설업,1.9,2870,건설업
동양건설산업(주) ,건설업,2.6,4916,건설업
디피제이파트너즈(주) ,건설업,2.5,3880,건설업
