기업이름,분야,평점,연봉,2차산업군
(주)티몬 ,IT/웹/통신,2.8,4175,IT
(주)위메프 ,IT/웹/통신,2.6,3989,IT
(주)엘지유플러스 ,IT/웹/통신,3.2,4909,IT
삼성에스디에스(주) ,IT/웹/통신,3.5,5939,IT
(주)엘지씨엔에스 ,IT/웹/통신,3.2,5322,IT
(주)케이티 ,IT/웹/통신,3.1,5316,IT
네이버(주) ,IT/웹/통신,4,5936,IT
(주)더존비즈온 ,IT/웹/통신,2.4,4021,IT
롯데정보통신(주) ,IT/웹/통신,2.7,4807,IT
효성아이티엑스(주) ,IT/웹/통신,2.8,3247,IT
(주)케이티씨에스 ,IT/웹/통신,2.8,2954,IT
(주)카카오 ,IT/웹/통신,3.8,5513,IT
(주)엔씨소프트 ,IT/웹/통신,3.6,5429,IT
카페24(주) ,IT/웹/통신,3.4,4351,IT
(주)야놀자 ,IT/웹/통신,2.8,4408,IT
씨제이올리브네트웍스(주) ,IT/웹/통신,3,4797,IT
(주)지마켓 ,IT/웹/통신,3.7,5882,IT
에스케이플래닛(주) ,IT/웹/통신,3.5,5518,IT
요기요 ,IT/웹/통신,3,4568,IT
SK텔레콤(주) ,IT/웹/통신,4,6675,IT
(주)안랩 ,IT/웹/통신,3.5,4401,IT
(주)넥슨코리아 ,IT/웹/통신,3.8,5169,IT
(주)인라이플 ,IT/웹/통신,2.8,3762,IT
(주)사람인 ,IT/웹/통신,3,4169,IT
(주)케이티아이에스 ,IT/웹/통신,2.6,3025,IT
한국아이비엠(주) ,IT/웹/통신,3.2,5134,IT
(주)인피닉 ,IT/웹/통신,2.1,2542,IT
(주)티맥스소프트 ,IT/웹/통신,2.8,4669,IT
(주)우아한형제들 ,IT/웹/통신,3.7,5199,IT
(주)케이티알파 ,IT/웹/통신,2.8,4706,IT
현대오토에버(주) ,IT/웹/통신,3.5,5496,IT
엔에이치엔(주) ,IT/웹/통신,3.5,4894,IT
(주)미라콤아이앤씨 ,IT/웹/통신,2.9,5096,IT
미드미넷(주) ,IT/웹/통신,3.7,3121,IT
콘센트릭스서비스코리아(유) ,IT/웹/통신,2.5,4466,IT
(주)케이티디에스 ,IT/웹/통신,2.9,4586,IT
(주)이글루코퍼레이션 ,IT/웹/통신,2.7,3480,IT
(주)코리아센터 ,IT/웹/통신,2.6,3688,IT
(주)신한디에스 ,IT/웹/통신,2.6,4864,IT
라인플러스(주) ,IT/웹/통신,3.7,5703,IT
(주)브랜디 ,IT/웹/통신,2.6,3571,IT
한전케이디엔(주) ,IT/웹/통신,3.4,3688,IT
(주)커리어넷 ,IT/웹/통신,2.6,2752,IT
잡코리아 유한책임회사 ,IT/웹/통신,3.2,4255,IT
에스케이(주) ,IT/웹/통신,3.6,5618,IT
(주)다우기술 ,IT/웹/통신,3.4,4675,IT
팅크웨어(주) ,IT/웹/통신,2.7,3878,IT
넷마블(주) ,IT/웹/통신,3,5104,IT
(주)마이다스아이티 ,IT/웹/통신,3.3,4920,IT
(주)스펙업애드 ,IT/웹/통신,2.4,2848,IT
넥슨네트웍스(주) ,IT/웹/통신,2.9,3167,IT
(주)커넥트웨이브 ,IT/웹/통신,3,3581,IT
나이스평가정보(주) ,IT/웹/통신,3.3,6866,IT
엘에스산전(주) ,IT/웹/통신,3.5,5259,IT
에스케이엠앤서비스(주) ,IT/웹/통신,2.9,3939,IT
티시스(주) ,IT/웹/통신,2.4,4465,IT
롯데쇼핑(주) e커머스사업본부 ,IT/웹/통신,2.8,5424,IT
여기어때 ,IT/웹/통신,3,4107,IT
(주)컴투스 ,IT/웹/통신,3.2,4424,IT
휴넷(주) ,IT/웹/통신,2.9,3948,IT
(주)링크프라이스 ,IT/웹/통신,2.5,2816,IT
(주)지에스아이티엠 ,IT/웹/통신,2.5,4705,IT
(주)비즈테크아이 ,IT/웹/통신,2.7,3469,IT
(주)와이즈스톤 ,IT/웹/통신,2,2450,IT
(주)디케이테크인 ,IT/웹/통신,2.6,3517,IT
(주)네오위즈 ,IT/웹/통신,3.4,4358,IT
(주)아이파트너즈 ,IT/웹/통신,2.4,3522,IT
엔테크서비스(주) ,IT/웹/통신,3.6,3755,IT
신세계아이앤씨(주) ,IT/웹/통신,2.9,4990,IT
메가존(주) ,IT/웹/통신,2.7,4093,IT
(주)현대이지웰 ,IT/웹/통신,2.5,3630,IT
(주)아프리카티비 ,IT/웹/통신,2.8,4300,IT
(주)윈스 ,IT/웹/통신,2.8,3774,IT
지오시스(유) ,IT/웹/통신,2.2,3467,IT
(주)롯데닷컴 ,IT/웹/통신,3.1,4090,IT
제로웹(주) ,IT/웹/통신,2.1,2610,IT
코나아이(주) ,IT/웹/통신,2.4,4231,IT
(주)써머스플랫폼 ,IT/웹/통신,2.5,3260,IT
(주)와이즈넛 ,IT/웹/통신,2.7,4600,IT
에스케이커뮤니케이션즈(주) ,IT/웹/통신,3.1,4762,IT
아이지에스(주) ,IT/웹/통신,2.4,3006,IT
케이지이니시스(주) ,IT/웹/통신,2.2,3980,IT
(주)직방 ,IT/웹/통신,3,4357,IT
(주)미디어로그 ,IT/웹/통신,2.9,4078,IT
(주)아이뱅크 ,IT/웹/통신,2.4,3113,IT
(주)엠서클 ,IT/웹/통신,2.4,3780,IT
와이즈와이어즈(주) ,IT/웹/통신,2.1,2871,IT
예스이십사(주) ,IT/웹/통신,2.7,4270,IT
데이터스트림즈(주) ,IT/웹/통신,1.7,3937,IT
(주)이스트소프트 ,IT/웹/통신,3.3,4017,IT
씨엔티테크(주) ,IT/웹/통신,2.7,3279,IT
에스케이오앤에스(주) ,IT/웹/통신,2.9,3257,IT
(주)위메이드 ,IT/웹/통신,2.5,4583,IT
(주)공팔리터 ,IT/웹/통신,2.4,3271,IT
(주)이카운트 ,IT/웹/통신,2.8,4127,IT
한국지능정보사회진흥원 ,IT/웹/통신,3.4,3892,IT
베스핀글로벌(주) ,IT/웹/통신,2.8,4728,IT
(주)웹젠 ,IT/웹/통신,2.8,3593,IT
리디(주) ,IT/웹/통신,3.3,4367,IT
(주)제이슨그룹 ,IT/웹/통신,2,3340,IT
나비스오토모티브시스템즈(주) ,IT/웹/통신,2.4,4301,IT
줌인터넷(주) ,IT/웹/통신,2.7,4074,IT
어니컴(주) ,IT/웹/통신,2.2,2972,IT
