기업이름,분야,평점,연봉,2차산업군
(주)레즐러 ,제조/화학,2.0,3410,금속/재료/철강
우양에이치씨(주) ,제조/화학,2.9,3709,금속/재료/철강
(주)에스씨엘 ,제조/화학,1.8,3162,금속/재료/철강
대림통상(주) ,제조/화학,2.4,3568,금속/재료/철강
코리아오토글라스(주) ,제조/화학,2.1,4336,금속/재료/철강
(주)영흥 ,제조/화학,3.0,4026,금속/재료/철강
성광벤드(주) ,제조/화학,2.5,4089,금속/재료/철강
(주)토리컴 ,제조/화학,2.4,3606,금속/재료/철강
대륙금속(주) ,제조/화학,2.5,3499,금속/재료/철강
한국특수형강(주) ,제조/화학,2.5,4267,금속/재료/철강
(주)인성 ,제조/화학,2.8,3500,금속/재료/철강
엘에스메탈(주) ,제조/화학,3.2,4606,금속/재료/철강
이구산업(주) ,제조/화학,2.2,3301,금속/재료/철강
디에스알제강(주) ,제조/화학,2.5,4311,금속/재료/철강
한일단조공업(주) ,제조/화학,2.7,3617,금속/재료/철강
유니락(주) ,제조/화학,2.1,3479,금속/재료/철강
(주)성일에스아이엠 ,제조/화학,2.3,3289,금속/재료/철강
에스케이넥실리스(주) ,제조/화학,3.6,5558,금속/재료/철강
(주)남선알미늄 ,제조/화학,2.9,4158,금속/재료/철강
동양철관(주) ,제조/화학,2.7,4169,금속/재료/철강
세고스(주) ,제조/화학,2.3,3355,금속/재료/철강
정우금속공업(주) ,제조/화학,1.9,3102,금속/재료/철강
한솔신텍(주) ,제조/화학,2.8,4599,금속/재료/철강
한국세큐리트(주) ,제조/화학,2.3,4042,금속/재료/철강
쿠어스텍코리아(유) ,제조/화학,3.4,3310,금속/재료/철강
(주)동양 ,제조/화학,3.0,4622,금속/재료/철강
(주)이건창호 ,제조/화학,2.5,4146,금속/재료/철강
제이미크론(주) ,제조/화학,1.7,3206,금속/재료/철강
현대하이스코(주) ,제조/화학,4.0,5848,금속/재료/철강
(주)펠릭스테크 ,제조/화학,2.7,3719,금속/재료/철강
삼우금속공업(주) ,제조/화학,2.2,3583,금속/재료/철강
비엔스틸라(주) ,제조/화학,2.0,3377,금속/재료/철강
에스엔엔씨(주) ,제조/화학,3.1,5063,금속/재료/철강
DSR(주) ,제조/화학,2.5,4535,금속/재료/철강
대신금속(주) ,제조/화학,2.6,3574,금속/재료/철강
(주)승일 ,제조/화학,2.4,3384,금속/재료/철강
무창상사(주) ,제조/화학,1.6,2839,금속/재료/철강
삼양컴텍(주) ,제조/화학,2.2,3528,금속/재료/철강
지코아시아(주) ,제조/화학,3.3,4152,금속/재료/철강
한국샌드빅(주) ,제조/화학,2.5,4382,금속/재료/철강
(주)동양에이.케이코리아 ,제조/화학,1.7,3759,금속/재료/철강
엔탑(주) ,제조/화학,2.0,4036,금속/재료/철강
한국철강(주) ,제조/화학,3.8,5535,금속/재료/철강
한국오에스지(주) ,제조/화학,3.1,3695,금속/재료/철강
(주)지아이텍 ,제조/화학,2.7,3483,금속/재료/철강
신생공업(주) ,제조/화학,2.7,2799,금속/재료/철강
(주)대호특수강 ,제조/화학,2.3,3803,금속/재료/철강
(주)디비메탈 ,제조/화학,2.4,5349,금속/재료/철강
포스코스틸리온(주) ,제조/화학,2.6,5326,금속/재료/철강
서울금속(주) ,제조/화학,2.0,2756,금속/재료/철강
아세아시멘트(주) ,제조/화학,3.5,4846,금속/재료/철강
성화산업(주) ,제조/화학,3.4,4346,금속/재료/철강
(주)동광명품도어 ,제조/화학,1.7,3123,금속/재료/철강
(주)한국진공야금 ,제조/화학,2.3,3295,금속/재료/철강
스틸플라워(주) ,제조/화학,2.7,3746,금속/재료/철강
티씨씨동양(주) ,제조/화학,2.7,3907,금속/재료/철강
나스테크(주) ,제조/화학,3.1,4172,금속/재료/철강
조선선재온산(주) ,제조/화학,2.8,4380,금속/재료/철강
태창철강(주) ,제조/화학,2.9,3602,금속/재료/철강
조일알미늄(주) ,제조/화학,2.1,3279,금속/재료/철강
동국산업(주) ,제조/화학,3.1,4460,금속/재료/철강
새롬패널(주) ,제조/화학,2.4,3249,금속/재료/철강
피에스테크놀러지(주) ,제조/화학,3.1,3505,금속/재료/철강
한립(주) ,제조/화학,1.9,2772,금속/재료/철강
(주)심팩메탈 ,제조/화학,2.5,4128,금속/재료/철강
금강철강(주) ,제조/화학,1.6,2818,금속/재료/철강
(주)대양금속 ,제조/화학,2.1,3842,금속/재료/철강
(주)삼우에코 ,제조/화학,2.1,3085,금속/재료/철강
태양연마(주) ,제조/화학,3.3,3959,금속/재료/철강
해광(주) ,제조/화학,2.7,3321,금속/재료/철강
세아메카닉스(주) ,제조/화학,2.1,2971,금속/재료/철강
아주베스틸(주) ,제조/화학,2.1,3640,금속/재료/철강
(주)쎄니트 ,제조/화학,2.6,3458,금속/재료/철강
(주)아린엠에이치씨 ,제조/화학,3.2,3108,금속/재료/철강
동일산업(주) ,제조/화학,2.8,3861,금속/재료/철강
(주)성지제강 ,제조/화학,2.2,3166,금속/재료/철강
(주)이노블록 ,제조/화학,2.2,3542,금속/재료/철강
(주)코텍 ,제조/화학,2.2,3537,금속/재료/철강
신진화스너공업(주) ,제조/화학,1.6,3093,금속/재료/철강
이글버그만코리아(주) ,제조/화학,3.1,3387,금속/재료/철강
한국선재(주) ,제조/화학,2.4,3707,금속/재료/철강
(주)제일플랜트 ,제조/화학,2.4,3513,금속/재료/철강
기린산업(주) ,제조/화학,2.2,3433,금속/재료/철강
삼보산업(주) ,제조/화학,2.2,3795,금속/재료/철강
(주)나노테크 ,제조/화학,2.0,3759,금속/재료/철강
동아금속주름관(주) ,제조/화학,2.5,3517,금속/재료/철강
성일하이텍(주) ,제조/화학,2.6,4351,금속/재료/철강
세운철강(주) ,제조/화학,2.8,3553,금속/재료/철강
코츠(주) ,제조/화학,2.7,3416,금속/재료/철강
태명실업(주) ,제조/화학,2.4,4325,금속/재료/철강
(주)일신정밀 ,제조/화학,2.7,3016,금속/재료/철강
(주)제넨텍 ,제조/화학,2.2,3119,금속/재료/철강
다성테크(주) ,제조/화학,2.8,3783,금속/재료/철강
디티알(주) ,제조/화학,2.2,3651,금속/재료/철강
(주)세아항공방산소재 ,제조/화학,2.5,4268,금속/재료/철강
(주)한영특수강 ,제조/화학,1.8,3754,금속/재료/철강
대성공업(주) ,제조/화학,2.3,2933,금속/재료/철강
세일철강(주) ,제조/화학,2.7,4189,금속/재료/철강
월드브리지산업(주) ,제조/화학,2.1,3056,금속/재료/철강
