기업이름,분야,평점,연봉,2차산업군
(주)제이브이엠 ,제조/화학,2.5,3782,기계/설비/자동차
한국씰마스타(주) ,제조/화학,2.7,3731,기계/설비/자동차
(주)엘오티베큠 ,제조/화학,2.7,3770,기계/설비/자동차
(주)평화발레오 ,제조/화학,3.2,4676,기계/설비/자동차
(주)아바코 ,제조/화학,2.4,3599,기계/설비/자동차
(주)동서기공 ,제조/화학,2.2,3678,기계/설비/자동차
(주)현대에버다임 ,제조/화학,2.8,3754,기계/설비/자동차
지이헬스케어코리아(주) ,제조/화학,3.3,4711,기계/설비/자동차
보쉬전장(주) ,제조/화학,3.6,4108,기계/설비/자동차
코렌스(주) ,제조/화학,2.1,4146,기계/설비/자동차
(주)대유위니아 ,제조/화학,2.4,4994,기계/설비/자동차
대구텍(유) ,제조/화학,3.5,4528,기계/설비/자동차
이래오토모티브시스템(주) ,제조/화학,2.7,4108,기계/설비/자동차
(주)인팩 ,제조/화학,2.6,4296,기계/설비/자동차
평화정공(주) ,제조/화학,2.8,4611,기계/설비/자동차
볼보그룹코리아(주) 건설기계부문 ,제조/화학,3.5,4748,기계/설비/자동차
금호에이치티(주) ,제조/화학,2.4,3400,기계/설비/자동차
삼성다이나에이치백(주) ,제조/화학,1.4,3152,기계/설비/자동차
(주)덴티스 ,제조/화학,2.6,3418,기계/설비/자동차
(유)삼송 ,제조/화학,1.5,3458,기계/설비/자동차
코리아에프티(주) ,제조/화학,2.4,3918,기계/설비/자동차
현담산업(주) ,제조/화학,2.2,3735,기계/설비/자동차
(주)쎄크 ,제조/화학,2.5,3261,기계/설비/자동차
평화오일씰공업(주) ,제조/화학,2.6,4656,기계/설비/자동차
오토리브(유) ,제조/화학,3.3,4290,기계/설비/자동차
(주)대승 ,제조/화학,1.7,4518,기계/설비/자동차
(주)디엠에스 ,제조/화학,2.1,3993,기계/설비/자동차
알피니언메디칼시스템(주) ,제조/화학,2.7,3904,기계/설비/자동차
(주)삼기 ,제조/화학,2.5,4645,기계/설비/자동차
신성델타테크(주) ,제조/화학,2.4,3761,기계/설비/자동차
(주)에스티아이 ,제조/화학,3,4455,기계/설비/자동차
(주)한화/모멘텀 ,제조/화학,2.5,5326,기계/설비/자동차
대원강업(주) ,제조/화학,3,5188,기계/설비/자동차
에스티엑스엔진(주) ,제조/화학,3.3,4520,기계/설비/자동차
대우전자부품(주) ,제조/화학,2.3,4723,기계/설비/자동차
(주)디이엔티 ,제조/화학,2.4,3645,기계/설비/자동차
말레동현필터시스템(주) ,제조/화학,2.6,4386,기계/설비/자동차
(주)심팩 ,제조/화학,2.5,3789,기계/설비/자동차
듀링(주) ,제조/화학,2.4,3666,기계/설비/자동차
티피씨메카트로닉스(주) ,제조/화학,2.4,3496,기계/설비/자동차
시너스텍(주) ,제조/화학,2.1,3841,기계/설비/자동차
지에스엔텍(주) ,제조/화학,2.2,3537,기계/설비/자동차
