,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
73,(주)티라로보틱스,경력9~16년,," 경기도 성남시 중원구 둔촌대로 388 304호(상대원동,크란츠 테크노)",자율주행,"세무·회계, 재무·자금·IR","['자율주행', 'Autonomous', '전자']"
74,포티투닷 주식회사,경력5년↑,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹디자인, HTML·퍼블리싱·UI개발, 웹기획·웹마케팅·PM, 유통·상품기획·MD","['모빌리티', '자율주행', '프로젝트', '서비스', 'AI', 'ai', 'QA', '시스템', '데이터', '커뮤니케이션']"
75,주식회사 보스반도체,신입/경력3년↑,,"국민연금, 의료보험, 산재보험, 고용보험, 식대지원, 간식제공, •	On-site 외국어...",자율주행,시스템프로그래머,"['자율주행', 'ECU', 'SW', 'Autonomous', 'AUTOSAR', 'Linux', 'S/W', '시스템', '박사', '임베디드']"
76,포티투닷 주식회사,경력5년↑,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,경영·기획·전략,"['플랫폼', '자율주행', '모빌리티', '서비스', 'ai', 'Platform', '시스템', '데이터', '영어', 'Vehicle', 'Architect']"
77,탑커리어인사이트,경력3년↑,, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,광학·의료장비,"['학사', '시스템']"
78,탑커리어인사이트,경력3년↑,, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,"전자·반도체, 소프트웨어·하드웨어","['컴퓨터', 'Verification', '학사']"
79,탑커리어인사이트,경력7~15년,, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,시스템프로그래머,"['C', '컴퓨터', '펌웨어', '학사', '리눅스', '신호처리', '임베디드', '알고리즘', '제어']"
80,(주)비에이블컨설팅그룹,경력3~7년,," 서울특별시 금천구 가산디지털2로 165 1501호 (가산동,백상스타타워2차)",자율주행,"전산·IT기술지원, 네트워크·서버·보안","['자율주행', 'IT']"
81,포티투닷 주식회사,경력13년↑,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"인사·채용·인재개발(HRM·HRD), 총무·법무·특허, 재무·자금·IR","['모빌리티', '자율주행', '프로젝트', 'platform', 'ai', 'safety', '하드웨어', 'autonomous', 'vehicle', 'IT']"
82,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 전산·IT기술지원","['C', '3D', '학사', 'Linux', 'ADAS', 'Vehicle']"
83,(주)에이치알컨설팅그룹,경력10년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 웹기획·웹마케팅·PM","['C', '학사', '리눅스', 'Linux', 'ADAS', '임베디드', 'Vehicle']"
84,(주)에이치알컨설팅그룹,경력3~14년,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"소프트웨어·하드웨어, 전자·반도체","['Battery', '학사', '시스템', '회로', 'ADAS', 'Vehicle', '제어']"
85,씨드로닉스(주),경력3년↑,, 서울특별시 강남구 테헤란로20길 20 삼정빌딩 3층 씨드로닉스 (역삼동),자율주행,기계·금속·재료,"['자율주행', '로보틱스', 'SW', '센서', '인공지능', '시스템', '영상처리']"
86,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 소프트웨어·하드웨어","['SW', '학사', '리눅스', 'Linux', 'ADAS', '임베디드', 'Vehicle']"
87,(주)사피온코리아,경력5년↑,,,자율주행,"응용프로그래머, 웹프로그래머","['자율주행', 'SW', 'ADAS', 'Verification', '컴퓨터', 'Deep learning', 'linux', '데이터', 'C', '인공지능', 'AUTOSAR', '제어', 'Embedded', 'AI', '학사', 'Firmware', 'Linux', 'Python', '임베디드', 'Safety', '문서']"
88,포티투닷 주식회사,경력3년↑,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"ERP·시스템분석·설계, 네트워크·서버·보안","['플랫폼', '모빌리티', '서비스', 'ai', '시스템']"
